Date,Map,Visitor/Neutral,PTS,Home/Neutral,PTS
12/11/15,dust2,ex-Reason,6,E-frag.net,16
12/11/15,train,Reason,14,RCTIC,16
12/11/15,dust2,fnatic,16,"Natus Vincere",14
12/11/15,mirage,"London C",16,Planetkey,7
12/11/15,dust2,"London C",16,Planetkey,5
12/11/15,cobblestone,x6tence,16,overGame,11
12/11/15,cache,x6tence,4,overGame,16
12/11/15,mirage,overGame,8,x6tence,16
12/11/15,inferno,Titan,16,HellRaisers,7
12/11/15,inferno,FlipSid3,12,SK,16
12/11/15,train,SK,16,FlipSid3,13
12/11/15,mirage,FlipSid3,16,SK,7
12/11/15,mirage,G2,16,PENTA,11
12/11/15,cache,G2,16,PENTA,10
12/11/15,dust2,E-frag.net,13,Virtus.pro,16
12/11/15,mirage,Vexed,16,RCTIC,11
12/11/15,train,Vexed,16,RCTIC,7
12/11/15,overpass,RCTIC,19,Vexed,16
12/11/15,cache,Insidious,16,Expendables,8
12/11/15,cobblestone,Insidious,16,Expendables,10
12/11/15,mirage,Luminosity,16,Method,5
12/11/15,cache,Method,16,Luminosity,14
12/11/15,inferno,Method,8,Luminosity,16
12/11/15,overpass,CLG,13,Conquest,16
12/11/15,mirage,Conquest,16,CLG,3
12/11/15,cache,Enemy,22,3sUP,18
12/11/15,dust2,Luminosity,16,Winterfox,5
12/11/15,cache,Liquid,16,Cloud9,12
12/11/15,dust2,Conquest,12,CLG,16
12/11/15,cache,Liquid,16,compLexity,9
12/11/15,cache,burniNg,6,eXtasis,16
12/11/15,cobblestone,eXtasis,16,burniNg,3
12/11/15,cache,FolloweSports.com,8,Cloud9,16
12/11/15,cache,Liquid,16,Conquest,8
12/11/15,overpass,Luminosity,16,Winterfox,9
12/11/15,overpass,compLexity,11,Cloud9,16
12/11/15,cobblestone,ACE,16,3sUP,8
12/11/15,train,3sUP,5,ACE,16
12/11/15,dust2,ACE,7,3sUP,16
11/11/15,overpass,fnatic,9,mousesports,16
11/11/15,cache,Reason,16,ESC,14
11/11/15,mirage,"Natus Vincere",16,PENTA,8
11/11/15,overpass,PENTA,8,"Natus Vincere",16
11/11/15,mirage,KIYF,16,Infinity,5
11/11/15,dust2,Infinity,16,KIYF,12
11/11/15,cobblestone,KIYF,16,Infinity,14
11/11/15,overpass,HellRaisers,6,Titan,16
11/11/15,dust2,HellRaisers,11,Titan,16
11/11/15,cache,"LDLC White",8,"London C",16
11/11/15,inferno,"LDLC White",12,"London C",16
11/11/15,dust2,"LDLC White",16,"London C",14
11/11/15,inferno,mousesports,16,Virtus.pro,2
11/11/15,overpass,PENTA,13,mousesports,16
11/11/15,train,Virtus.pro,16,Titan,13
