,Map,Team1,Team1Pts,Team2,Team2Pts,Team1LastWin,Team2LastWin,Team1RanksHigher,Team2RanksHigher,Team1WonLast,Result
0,cache,x6tence,4,overGame,16,0,0,0,0,0,2
1,mirage,overGame,8,x6tence,16,1,0,0,0,1,2
2,inferno,Titan,16,HellRaisers,7,0,0,1,0,0,1
3,inferno,FlipSid3,12,SK,16,0,0,1,0,0,2
4,train,SK,16,FlipSid3,13,1,0,0,1,1,1
5,mirage,FlipSid3,16,SK,7,0,1,1,0,0,1
6,mirage,G2,16,PENTA,11,0,0,1,0,0,1
7,cache,G2,16,PENTA,10,1,0,1,0,1,1
8,dust2,E-frag.net,13,Virtus.pro,16,0,0,1,0,0,2
9,mirage,Vexed,16,RCTIC,11,0,0,1,0,0,1
10,train,Vexed,16,RCTIC,7,1,0,1,0,1,1
11,overpass,RCTIC,19,Vexed,16,0,1,0,1,0,1
12,cache,Insidious,16,Expendables,8,0,0,0,0,0,1
13,cobblestone,Insidious,16,Expendables,10,1,0,0,0,1,1
14,mirage,Luminosity,16,Method,5,0,0,1,0,0,1
15,cache,Method,16,Luminosity,14,0,1,0,1,0,1
16,inferno,Method,8,Luminosity,16,1,0,0,1,1,2
17,overpass,CLG,13,Conquest,16,0,0,0,1,0,2
18,mirage,Conquest,16,CLG,3,1,0,1,0,1,1
19,cache,Enemy,22,3sUP,18,0,0,0,0,0,1
20,dust2,Luminosity,16,Winterfox,5,1,0,1,0,0,1
21,cache,Liquid,16,Cloud9,12,0,0,1,0,0,1
22,dust2,Conquest,12,CLG,16,1,0,1,0,1,2
23,cache,Liquid,16,compLexity,9,1,0,1,0,0,1
24,cache,burniNg,6,eXtasis,16,0,0,0,0,0,2
25,cobblestone,eXtasis,16,burniNg,3,1,0,0,0,1,1
26,cache,FolloweSports.com,8,Cloud9,16,0,0,0,1,0,2
27,cache,Liquid,16,Conquest,8,1,0,0,1,0,1
28,overpass,Luminosity,16,Winterfox,9,1,0,1,0,1,1
29,overpass,compLexity,11,Cloud9,16,0,1,0,1,0,2
30,cobblestone,ACE,16,3sUP,8,0,0,0,0,0,1
31,train,3sUP,5,ACE,16,0,1,0,0,0,2
32,dust2,ACE,7,3sUP,16,1,0,0,0,1,2
33,overpass,fnatic,9,mousesports,16,0,0,0,1,0,2
34,cache,Reason,16,ESC,14,0,0,0,0,0,1
35,mirage,Natus Vincere,16,PENTA,8,0,0,1,0,0,1
36,overpass,PENTA,8,Natus Vincere,16,0,1,0,1,0,2
37,mirage,KIYF,16,Infinity,5,0,0,0,0,0,1
38,dust2,Infinity,16,KIYF,12,0,1,0,0,0,1
39,cobblestone,KIYF,16,Infinity,14,0,1,0,0,0,1
40,overpass,HellRaisers,6,Titan,16,0,1,0,1,0,2
41,dust2,HellRaisers,11,Titan,16,0,1,0,1,0,2
42,cache,LDLC White,8,London C,16,0,0,0,0,0,2
43,inferno,LDLC White,12,London C,16,0,1,0,0,0,2
44,dust2,LDLC White,16,London C,14,0,1,0,0,0,1
45,inferno,mousesports,16,Virtus.pro,2,1,1,1,0,0,1
46,overpass,PENTA,13,mousesports,16,0,1,0,1,0,2
47,train,Virtus.pro,16,Titan,13,0,1,0,1,0,1
48,cache,E-frag.net,7,KILLERFISH,16,0,0,1,0,0,2
49,train,KILLERFISH,16,E-frag.net,11,1,0,0,1,1,1
50,mirage,Reason,11,Vexed,16,1,0,0,1,0,2
51,cobblestone,Reason,6,Vexed,16,0,1,0,1,0,2
52,cobblestone,overGame,16,Play2Win,11,0,0,0,0,0,1
53,cache,overGame,16,Play2Win,3,1,0,0,0,1,1
54,dust2,PENTA,9,Titan,16,0,0,0,1,0,2
55,mirage,NiP,8,mousesports,16,0,1,0,1,0,2
56,overpass,FlipSid3,28,SK,24,1,0,1,0,1,1
57,mirage,SK,16,FlipSid3,13,0,1,0,1,0,1
58,train,FlipSid3,16,SK,13,0,1,1,0,0,1
59,overpass,PiTER,7,CSGO.one,16,0,0,0,0,0,2
60,mirage,PiTER,16,CSGO.one,9,0,1,0,0,0,1
61,cobblestone,CSGO.one,16,PiTER,10,0,1,0,0,0,1
62,dust2,HellRaisers,16,GreyFace,2,0,0,0,0,0,1
63,overpass,GreyFace,12,HellRaisers,16,0,1,0,0,0,2
64,train,G2,16,Virtus.pro,14,1,1,1,0,0,1
65,inferno,G2,16,Virtus.pro,4,1,0,1,0,1,1
66,cache,ESC,5,RCTIC,16,0,1,0,0,0,2
67,train,ESC,5,RCTIC,16,0,1,0,0,0,2
68,cobblestone,CLG,10,Luminosity,16,1,1,1,0,0,2
69,mirage,Liquid,16,Enemy,13,1,1,1,0,0,1
70,inferno,3sUP,12,Method,16,1,0,0,0,0,2
71,cache,Method,19,3sUP,17,1,0,0,0,1,1
72,dust2,Cloud9,16,Conquest,6,1,0,0,1,0,1
73,cobblestone,Luminosity,16,FolloweSports.com,12,1,0,1,0,0,1
74,cobblestone,Liquid,16,3sUP,14,1,0,1,0,0,1
75,train,FolloweSports.com,11,Luminosity,16,0,1,0,1,0,2
76,cobblestone,CLG,13,3sUP,16,0,0,1,0,0,2
77,cache,Cloud9,16,compLexity,12,1,0,1,0,1,1
78,mirage,London C,16,Infused,11,0,0,0,0,0,1
79,train,Infused,7,London C,16,0,1,0,0,0,2
80,dust2,SK,11,EnVyUs,16,0,0,0,1,0,2
81,mirage,Enso,14,eSuba,16,0,0,0,0,0,2
82,dust2,Enso,10,eSuba,16,0,1,0,0,0,2
83,mirage,SK,16,NiP,12,0,0,0,1,0,1
84,cache,eSuba,16,neXtPlease!,14,1,0,0,0,0,1
85,dust2,LDLC White,16,GRS.GP,7,1,0,0,0,0,1
86,inferno,LDLC White,16,GRS.GP,3,1,0,0,0,1,1
87,cobblestone,HellRaisers,9,EnVyUs,16,1,1,0,1,0,2
88,mirage,PENTA,16,Planetkey,10,0,0,0,0,0,1
89,dust2,PENTA,12,Planetkey,16,1,0,0,0,1,2
90,mirage,Enso,16,neXtPlease!,10,0,0,0,0,0,1
91,overpass,Enso,9,neXtPlease!,16,1,0,0,0,1,2
92,dust2,Enso,16,neXtPlease!,9,0,1,0,0,0,1
93,train,CLG,16,Enemy,3,0,0,1,0,0,1
94,overpass,Enemy,10,CLG,16,0,1,0,1,0,2
95,mirage,nerdRage,12,eSuba,16,0,1,0,0,0,2
96,mirage,PiTER,19,ESC,17,0,0,0,0,0,1
97,cache,PiTER,19,ESC,15,1,0,0,0,1,1
98,train,Epsilon,19,Orgless,17,0,0,0,0,0,1
99,overpass,Orgless,16,Epsilon,12,0,1,0,0,0,1
100,inferno,Orgless,16,Epsilon,3,1,0,0,0,1,1
101,mirage,nerdRage,12,Enso,16,0,1,0,0,0,2
102,dust2,nerdRage,7,Enso,16,0,1,0,0,0,2
103,cobblestone,LDLC White,16,LDLC Blue,8,1,0,0,0,0,1
104,dust2,LDLC Blue,10,LDLC White,16,0,1,0,0,0,2
105,overpass,LDLC White,13,LDLC Blue,16,1,0,0,0,1,2
106,inferno,LDLC Blue,25,LDLC White,28,1,0,0,0,1,2
107,mirage,LDLC White,16,LDLC Blue,19,1,0,0,0,1,2
108,dust2,E-frag.net,10,HellRaisers,16,0,0,1,0,0,2
109,overpass,E-frag.net,10,HellRaisers,16,0,1,1,0,0,2
110,cache,EnVyUs,16,CSGL,11,1,0,0,1,0,1
111,cobblestone,CSGL,12,EnVyUs,16,0,1,1,0,0,2
112,dust2,neXtPlease!,16,eSuba,7,0,1,0,0,0,1
113,cache,eSuba,11,neXtPlease!,16,0,1,0,0,0,2
114,inferno,neXtPlease!,10,eSuba,16,1,0,0,0,1,2
115,cobblestone,mousesports,4,Virtus.pro,16,1,0,1,0,1,2
116,mirage,Virtus.pro,16,mousesports,8,1,0,0,1,1,1
117,inferno,mousesports,8,Virtus.pro,16,0,1,1,0,0,2
118,dust2,Enso,22,CAZ,25,1,0,0,0,0,2
119,mirage,CAZ,16,Enso,14,1,0,0,0,1,1
120,cobblestone,Epiphany Bolt,16,RCTIC,4,0,1,0,0,0,1
121,mirage,LC Staff,16,99damage.de Staff,3,0,0,0,0,0,1
122,cobblestone,LC Staff,16,99damage.de Staff,13,1,0,0,0,1,1
123,cache,LC Staff,14,99damage.de Staff,16,1,0,0,0,1,2
124,cache,mousesports,16,Conquest,11,0,0,0,1,0,1
125,overpass,Conquest,16,mousesports,8,0,1,1,0,0,1
126,inferno,mousesports,16,Conquest,11,0,1,0,1,0,1
127,inferno,Revival,16,Vega Squadron,14,0,0,0,0,0,1
128,dust2,Vega Squadron,8,Revival,16,0,1,0,0,0,2
129,mirage,Revival,8,Vega Squadron,16,1,0,0,0,1,2
130,dust2,Fnatic Staff,4,E-frag.net Staff,16,0,0,0,0,0,2
131,cache,E-frag.net Staff,16,Fnatic Staff,3,1,0,0,0,1,1
132,cobblestone,Virtus.pro,16,Titan,13,1,1,0,1,1,1
133,train,Titan,10,Virtus.pro,16,0,1,1,0,0,2
134,mirage,CAZ,16,Revival,8,1,0,0,0,0,1
135,inferno,CAZ,16,Revival,12,1,0,0,0,1,1
136,mirage,SLTV Staff,8,NoobTubers,16,0,0,0,0,0,2
137,cobblestone,SLTV Staff,16,NoobTubers,19,0,1,0,0,0,2
138,cache,NoobTubers,8,SLTV Staff,16,1,0,0,0,1,2
139,train,ESC,16,nerdRage,0,0,0,0,0,0,1
140,dust2,nerdRage,16,ESC,13,0,1,0,0,0,1
141,mirage,ESC,16,nerdRage,8,0,1,0,0,0,1
142,dust2,TheMongolz,16,nxl,3,0,0,0,0,0,1
143,dust2,Fragbite.se Staff,13,myXMG Staff,16,0,0,0,0,0,2
144,cache,Fragbite.se Staff,11,myXMG Staff,16,0,1,0,0,0,2
145,cache,TheMongolz,16,Insidious,2,1,1,0,0,0,1
146,dust2,Puzzle,6,Secret,16,0,0,0,0,0,2
147,mirage,Puzzle,7,Secret,16,0,1,0,0,0,2
148,inferno,Secret,4,Puzzle,16,1,0,0,0,1,2
149,cache,Secret,11,Puzzle,16,0,1,0,0,0,2
150,cache,dignitas,13,Conquest,16,0,0,0,1,0,2
151,train,Conquest,19,dignitas,22,1,0,1,0,1,2
152,cobblestone,dignitas,9,Conquest,16,1,0,0,1,1,2
153,inferno,Luminosity,14,Titan,16,1,0,0,1,0,2
154,cobblestone,Luminosity,16,Titan,11,0,1,0,1,0,1
155,cache,Titan,16,Luminosity,11,0,1,1,0,0,1
156,mirage,Virtus.pro,16,dignitas,11,1,0,0,1,0,1
157,inferno,Virtus.pro,16,dignitas,13,1,0,0,1,1,1
158,train,dignitas,19,Virtus.pro,17,0,1,1,0,0,1
159,cobblestone,Liquid,18,Conquest,22,1,1,0,1,1,2
160,train,Liquid,11,Conquest,16,0,1,0,1,0,2
161,cache,Fragbite.se Staff,16,G2A.com Staff,7,0,0,0,0,0,1
162,dust2,Fragbite.se Staff,16,G2A.com Staff,11,1,0,0,0,1,1
163,overpass,Virtus.pro Staff,8,LC Staff,16,0,0,0,0,0,2
164,cache,Virtus.pro Staff,5,LC Staff,16,0,1,0,0,0,2
165,inferno,Vega Squadron,4,Enso,16,1,0,0,0,0,2
166,overpass,Enso,12,Vega Squadron,16,1,0,0,0,1,2
167,dust2,Enso,16,Vega Squadron,11,0,1,0,0,0,1
168,mirage,Luminosity,7,mousesports,16,0,1,1,0,0,2
169,dust2,Luminosity,12,mousesports,16,0,1,1,0,0,2
170,cobblestone,Titan,16,Natus Vincere,12,1,1,1,0,0,1
171,dust2,Natus Vincere,16,Titan,7,0,1,0,1,0,1
172,train,Titan,16,Natus Vincere,13,0,1,1,0,0,1
173,cache,Fnatic Staff,16,EGB.com Staff,4,0,0,0,0,0,1
174,inferno,Fnatic Staff,16,EGB.com Staff,7,1,0,0,0,1,1
175,dust2,EGB.com Staff,16,Fnatic Staff,14,0,1,0,0,0,1
176,inferno,StormStudio Staff,8,E-frag.net Staff,16,0,1,0,0,0,2
177,cache,E-frag.net Staff,16,StormStudio Staff,6,1,0,0,0,1,1
178,inferno,nEophyte,16,eSuba,9,0,1,0,0,0,1
179,cache,eSuba,11,nEophyte,16,0,1,0,0,0,2
180,mirage,eSuba,16,nEophyte,4,0,1,0,0,0,1
181,cache,Gamers.com.mt Staff,1,NoobTubers,16,0,0,0,0,0,2
182,cobblestone,NoobTubers,16,Gamers.com.mt Staff,2,1,0,0,0,1,1
183,cache,FACEIT Staff,4,SLTV Staff,16,0,1,0,0,0,2
184,mirage,SLTV Staff,16,FACEIT Staff,3,1,0,0,0,1,1
185,mirage,TyLoo,16,nxl,6,0,0,0,0,0,1
186,inferno,99damage.de Staff,16,PGL Staff,5,1,0,0,0,0,1
187,cache,99damage.de Staff,16,PGL Staff,2,1,0,0,0,1,1
188,mirage,TheMongolz,8,nxl,16,1,0,0,0,1,2
189,cache,Cybersport.pl Staff,10,myXMG Staff,16,0,1,0,0,0,2
190,inferno,myXMG Staff,19,Cybersport.pl Staff,16,1,0,0,0,1,1
191,cache,Insidious,14,TyLoo,16,0,1,0,0,0,2
192,inferno,Virtus.pro,22,Conquest,19,0,1,0,1,0,1
193,train,Virtus.pro,16,Conquest,7,1,0,0,1,1,1
194,cobblestone,Liquid,13,dignitas,16,0,1,1,0,0,2
195,train,dignitas,16,Liquid,8,1,0,0,1,1,1
196,overpass,Natus Vincere,7,mousesports,16,0,1,0,1,0,2
197,mirage,Natus Vincere,10,mousesports,16,0,1,0,1,0,2
198,cobblestone,Titan,10,Luminosity,16,1,0,1,0,1,2
199,cache,Luminosity,16,Titan,6,1,0,0,1,1,1
200,cobblestone,Reason,16,uX,14,0,0,0,0,0,1
201,inferno,Reason,16,uX,6,1,0,0,0,1,1
202,cache,KoN Denmark,16,KoN Finland,12,0,0,0,0,0,1
203,mirage,Revival,19,neXtPlease!,16,0,0,0,0,0,1
204,cobblestone,neXtPlease!,16,Revival,19,0,1,0,0,0,2
205,dust2,KoN Denmark,16,KoN Sweden,9,1,0,0,0,0,1
206,cache,No Problem!,13,Reason,16,0,1,0,0,0,2
207,mirage,Reason,16,No Problem!,5,1,0,0,0,1,1
208,inferno,No Problem!,16,Reason,14,0,1,0,0,0,1
209,cache,KoN Denmark,16,KoN Norway,5,1,0,0,0,0,1
210,cache,Vega Squadron,16,USSR,12,0,0,0,0,0,1
211,mirage,Vega Squadron,16,USSR,12,1,0,0,0,1,1
212,mirage,OnlineBOTS,4,uX,16,0,0,0,0,0,2
213,overpass,uX,16,OnlineBOTS,9,1,0,0,0,1,1
214,inferno,nxl,4,Puzzle,16,1,1,0,0,0,2
215,mirage,Puzzle,19,nxl,17,1,0,0,0,1,1
216,train,compLexity,16,CLG,3,0,1,0,1,0,1
217,dust2,CLG,16,SKDC,11,0,0,1,0,0,1
218,inferno,Games Academy,19,Denial,17,0,0,0,0,0,1
219,dust2,Games Academy,16,Denial,7,1,0,0,0,1,1
220,cache,Denial,16,Games Academy,11,0,1,0,0,0,1
221,cache,CLG,16,Cloud9,12,1,1,1,0,0,1
222,overpass,SKDC,16,Method,13,0,1,0,0,0,1
223,cache,Enemy,16,Cloud9,12,0,0,0,1,0,1
224,inferno,compLexity,16,FolloweSports.com,4,1,0,0,0,0,1
225,train,FolloweSports.com,16,compLexity,19,0,1,0,0,0,2
226,dust2,compLexity,3,FolloweSports.com,16,1,0,0,0,1,2
227,mirage,Publiclir.se,8,Epsilon,16,0,0,0,0,0,2
228,train,Publiclir.se,10,Epsilon,16,0,1,0,0,0,2
229,dust2,OnlineBOTS,16,Refuse,12,0,0,0,0,0,1
230,mirage,KILLERFISH,16,Reason,11,1,0,0,0,0,1
231,cache,Reason,3,KILLERFISH,16,0,1,0,0,0,2
232,train,KILLERFISH,8,Reason,16,1,0,0,0,1,2
233,cache,No Problem!,19,Refuse,17,1,0,0,0,0,1
234,mirage,CSGL,10,SK,16,0,1,1,0,0,2
235,train,SK,14,CSGL,16,1,0,0,1,1,2
236,cobblestone,Vexed,20,volgare,22,1,0,1,0,0,2
237,cache,Vexed,16,volgare,13,0,1,1,0,0,1
238,cache,Lions,8,Epsilon,16,0,1,0,0,0,2
239,overpass,Space Soldiers,8,OnlineBOTS,16,0,1,0,0,0,2
240,mirage,EnVyUs,16,PENTA,13,1,0,1,0,0,1
241,mirage,No Problem!,16,Space Soldiers,5,1,0,0,0,0,1
242,overpass,Vexed,16,CSGL,2,1,1,0,1,0,1
243,train,Vexed,16,CSGL,11,1,0,0,1,1,1
244,cache,E-frag.net,22,G2,19,0,1,1,0,0,1
245,inferno,G2,13,E-frag.net,16,0,1,0,1,0,2
246,dust2,G2,16,E-frag.net,13,0,1,0,1,0,1
247,cache,Epsilon,5,Publiclir.se,16,1,0,0,0,1,2
248,mirage,Epsilon,8,Publiclir.se,16,0,1,0,0,0,2
249,cache,Refuse,19,OnlineBOTS,15,0,1,0,0,0,1
250,overpass,Puzzle,16,MVP.karnal,2,1,0,0,0,0,1
251,cobblestone,Puzzle,11,MVP.karnal,16,1,0,0,0,1,2
252,cache,MVP.karnal,14,Puzzle,16,1,0,0,0,1,2
253,cache,Secret,16,nxl,11,0,0,0,0,0,1
254,inferno,Secret,16,nxl,14,1,0,0,0,1,1
255,mirage,Liquid,11,Winterfox,16,0,0,1,0,0,2
256,cache,Luminosity,16,CLG,4,1,1,0,1,1,1
257,inferno,Luminosity,16,3sUP,4,1,1,1,0,0,1
258,overpass,Liquid,16,Winterfox,6,0,1,1,0,0,1
259,dust2,CLG,16,Enemy,6,0,1,1,0,1,1
260,cache,compLexity,19,Noble,16,0,0,0,0,0,1
261,cobblestone,compLexity,16,Noble,12,1,0,0,0,1,1
262,overpass,Winterfox,12,Cloud9,16,0,0,0,1,0,2
263,cobblestone,Liquid,16,Luminosity,6,1,1,1,0,0,1
264,mirage,Enemy,6,Conquest,16,0,0,0,1,0,2
265,inferno,FolloweSports.com,16,compLexity,21,1,1,0,0,1,2
266,cache,NiP,16,PENTA,7,0,0,1,0,0,1
267,train,BX3,7,Lions,16,0,0,0,0,0,2
268,inferno,Reason,16,Epiphany Bolt,6,1,1,0,0,0,1
269,cache,G2,16,LDLC White,7,1,0,1,0,0,1
270,inferno,G2,12,LDLC White,16,1,0,1,0,1,2
271,dust2,LDLC White,12,G2,16,1,0,0,1,1,2
272,overpass,NiP,12,HellRaisers,16,1,1,1,0,0,2
273,cobblestone,uX,16,Epiphany Bolt,9,1,0,0,0,0,1
